5129457,"מור עוקבת תיק 2 הבנק הבינלאומי "
5129192,"קסם KTFי שקליות ריבית קבועה ממשלתיות 5-10 שנים"
5105846,"קסם אקסלנס (!) תיק אג\"ח ללא מניות"
5105705,"אלטשולר שחם 75 - 25 "
5116629,"אג\"ח מדורג (!) FOREST "
5114608,"איילון עוקבת חו\"ל תיק 2 הבנק הבינלאומי"
5105580,"מיטב עוקבת תיק 2 הבנק הבינלאומי"
5124581,"תכלית DJ Industrial Average TTF"
5124888,"פרופאונד 10/90"
5122056,"פסגות ספיר תיק השקעות"
5108022,"איילון עוקבת תיק 3 בנק דיסקונט"
5101597,"מגדל ריבית משתנה פרימיום"
5104427,"מגדל פלטינום (!) אגח חברות "
5107701,"מור מנייתית "
5118260,"טרגט אניגמה תיק מנוהל 20/80"
5108121,"פסגות אג\"ח משולבת + 10% "
5109608,"פת\"פ (!) אג\"ח + 10%"
5115167," אלטשולר שחם 10-90 "
5123963,"ילין לפידות תיק השקעות מנוהל"
5131396,"מגדל אג\"ח צמוד ישראל"
5120902,"מיטב עוקבת תיק 2 חו\"ל הבנק הבינלאומי"
5105697,"אלטשולר שחם (!) אג\"ח חברות ללא מניות"
5125596,"פסגות ישראל 20/80"
5114681,"מגדל אפיקים אג\"ח פלוס "
5107479,"ילין לפידות תיק אג\"ח חברות+50%"
5116777,"ילין לפידות (!) מד\"פ שקלי "
5128517,"פסגות עוקבת תיק 4 בנק דיסקונט"
5101704,"הראל (!) קונצרני פלוס"
5118765,"טרגט אניגמה תיק מנוהל 10/90"
5127139,"שופן 20/80"
5110739,"פסגות (!) אג\"ח גלובלי"
5121728,"ילין לפידות 30/70 "
5129002,"קסם KTF תל בונד-שקלי AA-AAA"
5126362,"מיטב עוקבת תיק 4 בנק דיסקונט"
5126271,"אילים תיק אג\"ח + 20%"
5129325,"פסגות עוקבת תיק 3 הבנק הבינלאומי"
5114350,"אנליסט 10/90"
5123468,"אפסילון (!) 10/90 "
5120738,"מיטב (!) מודל שקלי עד 3 שנים"
5101183,"אי.בי.אי. ביוטכנולוגיה"
5121694,"מיטב (!)י 10/90 תיק חו\"ל עד 30% מט\"ח"
5116751,"קסם אקסלנס 10-90 "
5115555,"הראל 30/70 פלוס"
5102603,"מיטב תיק מנוהל + 15%"
5109988,"פסגות מדינה ישראל-ארה\"ב"
5125646,"הראל אייל "
5103163,"מגדל‎‎ שקלית לריבית עולה"
5103239,"מגדל (!) אג\"ח רכיב בטוחה- מדורג"
5115480,"מיטב 10/90 פלוס"
5122015,"מיטב 10/90"
5130497,"הראל ישראל 30/70 "
5121181,"ילין לפידות 10/90 תיק אג\"ח חו\"ל ומניות עד 30% מט\"ח"
5125067,"תכלית TTF אינדקס אג\"ח שקלי עד 500 מיליון"
5125687,"מגדל (!) אג\"ח Buy Side"
5102330,"מיטב תיק השקעות עד 30% מניות"
5106109,"מיטב 20/80 פלוס"
5131099,"מגדל אג\"ח ומניות עד 20%"
5102363,"פסגות (!) קונצרני עד 4 שנים - עד 30% מט\"ח"
5123260,"MTF מחקה אינדקס AA ומעלה שקלי "
5124128,"MTF אוסטרליה S&P/ASX 200"
5107131,"מיטב EX (!) תל בונד (60 ושקלי)"
5114897,"ילין לפידות מניות ישראל"
5118948,"הורייזן 30/70"
5128137,"הראל Htf שקליות ריבית קבועה ממשלתיות 5+ שנים"
5116967,"אי.בי.אי. מחקה שקליות ריבית קבועה ממשלתיות +5 שנים"
5118039,"קסם KTFי שקליות ריבית קבועה ממשלתיות 5+ שנים"
5119375,"תכלית TTF  שקליות ריבית קבועה ממשלתיות +5 שנים "
5127477,"מור אג\"ח + 15%"
5105978,"אפסילון מדינה צמוד ללא מניות"
5107495,"ילין לפידות תיק אג\"ח +30%"
5102421,"קסם אקסלנס עוקבת תיק 2 הבנק הבינלאומי "
5129598,"אלטשולר שחם עוקבת תיק 3 הבנק הבינלאומי"
5103676,"מגדל שקלית ללא מניות "
5101563,"מיטב שקלית 2-6 שנים"
5114160,"קסם אזימוט 10/90 דיבידנד "
5104211,"מיטב אקטיבית 25/75"
5111489,"PTF שקליות ריבית קבועה ממשלתיות 5+ שנים"
5130448,"מיטב מדינה – A ומעלה"
5118476,"אלטשולר שחם מדינה + 15%"
5121496,"מיטב אג\"ח ישראל פלוס"
5112909,"מגדל (!) אג\"ח רכיב בטוחה"
5124243,"יצירה 20/80"
5129481,"מיטב עוקבת מרכיב אג\"ח תיק – 3 הבנק הבינלאומי"
5130000,"MTF מחקה אינדקס אג\"ח בנקים וביטוח "
5118047,"קסם KTFי שקליות ריבית קבועה ממשלתיות"
5123393,"‏MTF מחקה שקליות ריבית קבועה ממשלתיות "
5115811,"תמיר פישמן 10/90 פלוס"
